pre,post,type,synapses
AVAL,DA8,chemical,3
AVAL,DA9,chemical,3
AVAL,LUAL,chemical,2
AVAR,DA8,chemical,9
AVAR,DA9,chemical,2
AVAR,LUAL,chemical,1
AVAR,LUAR,chemical,3
AVDL,DA8,chemical,1
AVDL,LUAL,chemical,1
AVDR,DA8,chemical,1
AVDR,DA9,chemical,1
AVDR,LUAL,chemical,2
AVG,DA8,chemical,1
AVG,PHAL,chemical,1
AVHL,PHBR,chemical,1
DA8,AVAL,chemical,1
DA9,PHCL,chemical,1
DVB,DA8,chemical,4
LUAL,AVAL,chemical,6
LUAL,AVAR,chemical,5
LUAL,AVDL,chemical,4
LUAL,AVDR,chemical,2
LUAL,AVJL,chemical,1
LUAL,PLML,chemical,1
LUAL,PVNL,chemical,1
LUAL,PVWL,chemical,1
LUAR,AVAL,chemical,3
LUAR,AVAR,chemical,7
LUAR,AVDL,chemical,1
LUAR,AVDR,chemical,3
LUAR,AVJR,chemical,2
LUAR,PLMR,chemical,1
LUAR,PQR,chemical,1
LUAR,PVCR,chemical,3
LUAR,PVR,chemical,1
LUAR,PVWL,chemical,1
PDA,DA9,chemical,1
PHAL,AVDR,chemical,1
PHAL,AVFL,chemical,3
PHAL,AVG,chemical,5
PHAL,AVHL,chemical,1
PHAL,AVHR,chemical,1
PHAL,DA8,chemical,1
PHAL,DVA,chemical,2
PHAL,PHAR,chemical,7
PHAL,PHBL,chemical,5
PHAL,PHBR,chemical,5
PHAL,PVQL,chemical,2
PHAR,AVG,chemical,3
PHAR,AVHR,chemical,1
PHAR,DVA,chemical,2
PHAR,PHAL,chemical,7
PHAR,PHBL,chemical,1
PHAR,PHBR,chemical,5
PHAR,PVPL,chemical,3
PHAR,PVQL,chemical,2
PHBL,AVAL,chemical,9
PHBL,AVAR,chemical,6
PHBL,DA8,chemical,1
PHBL,PHBR,chemical,4
PHBL,PVCL,chemical,13
PHBL,VA12,chemical,2
PHBR,AVAL,chemical,7
PHBR,AVAR,chemical,7
PHBR,AVDL,chemical,1
PHBR,AVDR,chemical,1
PHBR,AVHL,chemical,1
PHBR,PHBL,chemical,4
PHBR,PVCL,chemical,5
PHBR,PVCR,chemical,3
PHBR,VA12,chemical,1
PHCL,AVAL,chemical,1
PHCL,DA9,chemical,3
PHCL,DVA,chemical,5
PHCL,LUAL,chemical,1
PHCL,PHCR,chemical,1
PHCL,PVCL,chemical,1
PHCL,VA12,chemical,2
PHCR,AVHR,chemical,1
PHCR,DA9,chemical,6
PHCR,DVA,chemical,7
PHCR,LUAR,chemical,1
PHCR,PHCL,chemical,2
PHCR,PVCR,chemical,8
PHCR,VA12,chemical,1
PLML,LUAL,chemical,1
PLMR,LUAR,chemical,1
PQR,LUAR,chemical,1
PVCR,LUAR,chemical,1
PVPL,PHAR,chemical,3
VA12,DA8,chemical,3
VA12,DA9,chemical,3
VA12,LUAL,chemical,2
VA12,PHCL,chemical,1